block,mode,kem,signature,median_ms,first_mode
5,cold,smaug1,haetae3,4.666419,warm
5,cold,ntruplus_kem864,aimer256f,11.854654,warm
5,cold,ntruplus_kem576,aimer256f,11.618804,warm
5,cold,ntruplus_kem1152,haetae2,4.426095,warm
5,cold,ntruplus_kem864,aimer128f,4.928411,warm
5,cold,smaug5,haetae3,4.044864,warm
5,cold,ntruplus_kem1152,haetae5,4.572138,warm
5,cold,ntruplus_kem576,aimer128f,4.772871,warm
5,cold,ntruplus_kem768,aimer256f,11.888708,warm
5,cold,smaug5,haetae5,4.538245,warm
5,cold,ntruplus_kem1152,aimer192f,7.303678,warm
5,cold,smaug5,aimer256f,11.847912,warm
5,cold,smaug1,aimer128f,4.558985,warm
5,cold,ntruplus_kem768,haetae3,3.835661,warm
5,cold,smaug5,haetae2,4.161957,warm
5,cold,smaug1,haetae5,4.554333,warm
5,cold,smaug1,aimer256f,11.511687,warm
5,cold,ntruplus_kem576,haetae3,4.139452,warm
5,cold,ntruplus_kem576,haetae5,4.156064,warm
5,cold,smaug3,haetae5,3.944966,warm
5,cold,smaug3,haetae2,4.643233,warm
5,cold,ntruplus_kem768,haetae5,5.221531,warm
5,cold,smaug3,aimer128f,4.530065,warm
5,cold,ntruplus_kem1152,aimer256f,12.294989,warm
5,cold,ntruplus_kem864,aimer192f,7.201319,warm
5,cold,ntruplus_kem576,haetae2,4.622183,warm
5,cold,ntruplus_kem768,haetae2,5.214774,warm
5,cold,X25519,EC,1.580997,warm
5,cold,ntruplus_kem768,aimer192f,7.106944,warm
5,cold,ntruplus_kem1152,aimer128f,5.218605,warm
5,cold,ntruplus_kem864,haetae3,3.903929,warm
5,cold,smaug1,aimer192f,6.747191,warm
5,cold,smaug3,aimer192f,6.804707,warm
5,cold,ntruplus_kem864,haetae5,4.298418,warm
5,cold,ntruplus_kem576,aimer192f,7.070034,warm
5,cold,smaug5,aimer128f,4.787707,warm
5,cold,smaug1,haetae2,3.916808,warm
5,cold,ntruplus_kem1152,haetae3,4.533216,warm
5,cold,ntruplus_kem864,haetae2,3.871293,warm
